Column1,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,rankings,0,Res
236,20,9,6,3,3.2,0.9,0.3,1.2,27.3,0,0.1,0,0.2,0.2,100,0.4,0.8,1.2,0.1,0,0,0,0.1,2.5,0,0,0.1,70,68.45567,1.54433
237,36,55,32,23,19.5,7.7,3.2,7.1,45.9,0.2,0.7,27,1,1.4,70.5,0.1,1.6,1.7,3.5,1.2,0.5,0,0.9,15.4,0,0,-0.2,76,73.608665,2.391335
238,35,46,15,31,25,6.5,2.6,4.1,64.7,0,0,0,1.3,2,62.4,2.9,6.2,9.1,1.2,1.3,0.3,0.6,2.3,20.7,4,0,-5.3,75,76.568054,-1.568054
239,26,75,48,27,34,23.1,8.5,17.9,47.7,2.1,5.8,37.1,3.9,4.9,79.9,0.6,4.6,5.2,4.3,2.9,2.4,0.8,2.3,42.3,3,0,4.5,88,93.42478,-5.42478
240,31,63,20,43,33.8,12.7,4.5,11.1,40.6,2.4,6.4,38.1,1.3,1.6,82.2,0.4,2.7,3.1,2.7,1.3,1.2,0.3,2.2,23.7,0,0,-5.1,77,75.8874,1.1126
241,24,22,4,18,7.4,2.2,0.8,1.9,40.5,0.2,0.5,50,0.4,0.9,45,0.4,1.3,1.6,0.2,0.5,0,0.6,1,5.9,0,0,-0.2,68,69.185356,-1.185356
242,25,42,26,16,15.5,6.7,2.4,5.9,39.9,0.6,1.8,32.9,1.4,1.9,76.9,0.4,2.5,2.9,0.7,0.8,0.4,0.1,1.2,12,0,0,0,74,72.29799,1.70201
243,23,68,37,31,15.5,6,2,5,39.3,1.4,3.6,38.1,0.6,0.7,89.8,0.3,1,1.3,0.6,0.5,0.5,0.1,1.7,9.9,0,0,0,74,73.17093,0.82907
244,33,76,64,12,26.3,7.6,2.9,5.5,52.8,0.8,2.3,36.2,0.9,1.3,70.6,0.7,3.3,4,3.4,0.8,1,0.5,1.3,21.3,0,0,6.9,79,80.21547,-1.21547
245,32,27,8,19,21.6,2.9,1.4,3,46.9,0,0,0,0.1,0.4,27.3,2.1,6,8.1,1.8,1.6,0.5,0.9,3.2,18,0,0,-1.3,73,74.062004,-1.062004
246,27,38,20,18,9,2.6,1.1,2.9,38.7,0.1,0.7,18.5,0.2,0.4,64.3,0.4,1.2,1.6,0.3,0.4,0.4,0.2,1.4,6.2,0,0,-3.4,68,69.712685,-1.712685
247,30,75,34,41,15.5,4.9,1.9,3.7,51.3,0,0,0,1.1,1.3,84,1.5,3,4.4,0.4,0.7,0.2,0.5,2.2,12.4,2,0,1.8,73,73.01902,-0.01902
248,24,74,43,31,27.8,12,4.4,9.9,44.2,1.5,4,37.1,1.8,2.6,69.1,0.3,1.9,2.2,2.8,1.6,0.6,0.1,2.5,19.6,0,0,-0.1,80,76.38093,3.61907
249,25,54,16,38,21.1,11,3.9,9.7,39.8,0.8,2.6,32.4,2.4,2.9,85.7,0.5,1.7,2.2,2.4,1.6,0.5,0.1,1.6,17.4,0,0,-6,74,74.719795,-0.719795
250,23,3,1,2,3.1,1.3,0.7,2.3,28.6,0,0,0,0,0,0,0.3,0.7,1,0.3,0.3,0.7,0.3,0,5.7,0,0,2.3,70,69.3456,0.6544
251,21,9,8,1,4.5,1.6,0.7,1.8,37.5,0.2,0.7,33.3,0,0,0,0.6,0.6,1.1,0.4,0.2,0.2,0.1,0.4,4.3,0,0,0.1,67,67.14754,-0.14754
252,20,5,2,3,10.3,2.8,1,1.4,71.4,0,0,0,0.8,0.8,100,0.4,1.6,2,0.6,0.8,0.6,0.2,1.2,7.7,0,0,-9,69,73.41064,-4.41064
253,22,16,1,15,5,2.3,1,2,50,0.1,0.4,14.3,0.2,0.3,60,0.6,0.6,1.2,0.1,0.2,0.1,0.1,0.4,4.4,0,0,3.1,69,68.49018,0.50982
254,32,61,43,18,31.5,18.1,6.1,12.9,47.6,2,5,41.1,3.8,4.3,89.2,0.7,4.3,5,9.2,2.4,2,0.1,2.4,41.8,24,1,9.5,91,92.435,-1.435
255,23,65,44,21,23.9,12.6,5.6,8.7,64.3,0,0,0,1.4,2.7,53.1,2.7,5.4,8.1,1,1.3,0.5,1.2,2.8,27.6,15,0,3.3,79,81.4266,-2.4266
256,28,62,23,39,8.6,1.7,0.7,1.4,52.3,0,0,0,0.2,0.4,68.2,0.8,1.7,2.5,0.4,0.3,0.4,0.4,1.4,7.4,1,0,-0.5,72,71.30607,0.69393
257,25,80,49,31,25,9.3,3.7,8.3,45.2,0.6,1.7,35.6,1.2,1.5,77,0.6,2.3,2.9,3.3,1.4,0.8,0.2,1.8,19.4,1,0,0.5,75,75.320366,-0.320366
258,28,81,51,30,31.7,12.7,5.1,7.1,71.4,0,0,0,2.5,5.2,48.2,3.7,10.1,13.8,1.2,1.4,0.6,1.7,2.6,36.4,41,0,5.6,87,86.266045,0.733955
259,22,5,1,4,3.4,2,0.6,0.8,75,0.2,0.2,100,0.6,1.2,50,0.4,0.4,0.8,0.6,0,0,0,0,3.9,0,0,0.2,68,74.38099,-6.38099
260,33,64,25,39,25.9,11,4.1,9.4,43.8,1.3,3.7,36.3,1.4,1.7,82.6,0.2,2.1,2.3,5.6,2.2,0.5,0.1,2.2,21.8,3,0,-1.5,74,76.8541,-2.8541
261,26,50,16,34,16.1,6.1,2.2,4.9,44.3,0.6,1.9,30.9,1.2,1.8,65.2,0.4,2.2,2.6,0.6,0.6,0.3,0.1,1.2,10.7,0,0,-1.2,72,71.03841,0.96159
262,20,7,6,1,3.5,1.4,0.4,1.9,23.1,0,0,0,0.6,0.6,100,0.1,0.7,0.9,0,0.3,0,0.1,0.7,2.6,0,0,-3.9,70,67.32952,2.67048
263,21,81,46,35,20.1,5.9,2.4,5.9,39.9,0.6,2,32.1,0.5,0.8,65.7,0.6,3,3.6,1,1,0.5,0.4,2.5,13.3,2,0,0.2,73,71.54087,1.45913
264,19,43,13,30,13.3,3.4,1.3,3.7,35.4,0.7,2.3,27.7,0.1,0.3,36.4,0.5,1.9,2.4,0.5,0.7,0.2,0.5,1.7,8.6,1,0,-0.6,72,68.92447,3.07553
265,25,77,30,47,17.3,6.7,2.5,4.9,51.5,0.3,1,28.4,1.4,1.8,75.9,1.2,2.8,4,0.6,0.4,0.8,0.5,1.8,15.9,2,0,-2.2,73,75.44079,-2.44079
